,repeats,failure,success,isKey_insert_hCall,isKey_insert_rdNum,isKey_insert_wrNum,isKey_search_hCall,isKey_search_rdNum,isKey_search_wrNum,isKey_delete_hCall,isKey_delete_rdNum,isKey_delete_wrNum,noKey_insert_hCall,noKey_insert_rdNum,noKey_insert_wrNum,noKey_search_hCall,noKey_search_rdNum,noKey_search_wrNum,noKey_delete_hCall,noKey_delete_rdNum,noKey_delete_wrNum
8.90625,2000,0,2000,2000,9149,2000,2000,9088,0,72555,82028,14117,2000,60611,2000,2000,63132,0,2000,64332,0
8.75,2000,0,2000,2000,4683,2000,2000,4959,0,17980,22539,6044,2000,15068,2000,2000,15285,0,2000,16112,0
8.625,2000,0,2000,2000,3711,2000,2000,3582,0,9429,13143,4039,2000,8129,2000,2000,7620,0,2000,7598,0
8.5,2000,0,2000,2000,2942,2000,2000,3019,0,6033,8991,3219,2000,4819,2000,2000,4981,0,2000,5011,0
10.90625,2000,0,2000,2000,10274,2000,2000,8993,0,95897,108070,16386,2000,90377,2000,2000,91837,0,2000,88277,0
10.75,2000,0,2000,2000,4633,2000,2000,4484,0,19592,24448,6214,2000,15836,2000,2000,16614,0,2000,16262,0
10.625,2000,0,2000,2000,3624,2000,2000,3534,0,9680,13267,4133,2000,7861,2000,2000,8260,0,2000,8481,0
10.5,2000,0,2000,2000,2871,2000,2000,2989,0,6040,8964,3257,2000,4900,2000,2000,5022,0,2000,4864,0
12.90625,2000,0,2000,2000,11354,2000,2000,11294,0,112846,124824,16829,2000,106752,2000,2000,107602,0,2000,105999,0
12.75,2000,0,2000,2000,5158,2000,2000,4972,0,19494,24667,6112,2000,17071,2000,2000,16793,0,2000,16966,0
12.625,2000,0,2000,2000,3673,2000,2000,3664,0,9486,12989,4169,2000,8052,2000,2000,7827,0,2000,8123,0
12.5,2000,0,2000,2000,2920,2000,2000,2985,0,5911,8952,3257,2000,4902,2000,2000,5047,0,2000,5122,0
14.90625,2000,0,2000,2000,12620,2000,2000,10801,0,120571,132509,17637,2000,117276,2000,2000,111476,0,2000,107859,0
14.75,2000,0,2000,2000,4867,2000,2000,4499,0,19940,25040,6110,2000,16704,2000,2000,17202,0,2000,16386,0
14.625,2000,0,2000,2000,3497,2000,2000,3655,0,9727,13403,4138,2000,7769,2000,2000,8612,0,2000,7698,0
14.5,2000,0,2000,2000,3023,2000,2000,3049,0,5819,8893,3182,2000,4984,2000,2000,4991,0,2000,4962,0
16.90625,2000,0,2000,2000,10994,2000,2000,10927,0,123883,135508,18515,2000,109996,2000,2000,114088,0,2000,113895,0
16.75,2000,0,2000,2000,4997,2000,2000,4661,0,19640,24498,6289,2000,17990,2000,2000,17119,0,2000,17914,0
16.625,2000,0,2000,2000,3621,2000,2000,3717,0,9618,13317,4146,2000,8023,2000,2000,8496,0,2000,8383,0
16.5,2000,0,2000,2000,3076,2000,2000,3063,0,6123,9147,3211,2000,4887,2000,2000,4868,0,2000,4793,0
