,repeats,failure,success,isKey_insert_hCall,isKey_insert_rdNum,isKey_insert_wrNum,isKey_search_hCall,isKey_search_rdNum,isKey_search_wrNum,isKey_delete_hCall,isKey_delete_rdNum,isKey_delete_wrNum,noKey_insert_hCall,noKey_insert_rdNum,noKey_insert_wrNum,noKey_search_hCall,noKey_search_rdNum,noKey_search_wrNum,noKey_delete_hCall,noKey_delete_rdNum,noKey_delete_wrNum
8.90625,2000,0,2000,4341,4341,2000,4272,4272,0,4307,4307,2000,53381,53381,11375,10000,10000,0,10000,10000,0
8.75,2000,0,2000,3566,3566,2000,3455,3455,0,3473,3473,2000,10013,10013,2952,10000,10000,0,10000,10000,0
8.625,2000,0,2000,3063,3063,2000,3079,3079,0,3044,3044,2000,5421,5421,2200,10000,10000,0,10000,10000,0
8.5,2000,0,2000,2704,2704,2000,2787,2787,0,2735,2735,2000,4237,4237,2083,10000,10000,0,10000,10000,0
10.90625,2000,0,2000,4413,4413,2000,4402,4402,0,4354,4354,2000,52081,52081,11092,10000,10000,0,10000,10000,0
10.75,2000,0,2000,3457,3457,2000,3419,3419,0,3473,3473,2000,10333,10333,2974,10000,10000,0,10000,10000,0
10.625,2000,0,2000,3089,3089,2000,3043,3043,0,3114,3114,2000,5651,5651,2253,10000,10000,0,10000,10000,0
10.5,2000,0,2000,2742,2742,2000,2792,2792,0,2758,2758,2000,4106,4106,2064,10000,10000,0,10000,10000,0
12.90625,2000,6,1994,4383,4383,1994,4295,4295,0,4385,4385,1994,51251,51251,10918,9970,9970,0,9970,9970,0
12.75,2000,0,2000,3461,3461,2000,3470,3470,0,3466,3466,2000,10006,10006,2937,10000,10000,0,10000,10000,0
12.625,2000,0,2000,3035,3035,2000,3049,3049,0,2995,2995,2000,5771,5771,2264,10000,10000,0,10000,10000,0
12.5,2000,0,2000,2732,2732,2000,2759,2759,0,2747,2747,2000,4006,4006,2066,10000,10000,0,10000,10000,0
14.90625,2000,14,1986,4304,4304,1986,4316,4316,0,4286,4286,1986,49801,49801,10619,9930,9930,0,9930,9930,0
14.75,2000,0,2000,3560,3560,2000,3447,3447,0,3493,3493,2000,9970,9970,2941,10000,10000,0,10000,10000,0
14.625,2000,0,2000,3099,3099,2000,3013,3013,0,3037,3037,2000,5798,5798,2255,10000,10000,0,10000,10000,0
14.5,2000,0,2000,2777,2777,2000,2681,2681,0,2730,2730,2000,4008,4008,2073,10000,10000,0,10000,10000,0
16.90625,2000,62,1938,4233,4233,1938,4185,4185,0,4265,4265,1938,47168,47168,10098,9690,9690,0,9690,9690,0
16.75,2000,1,1999,3444,3444,1999,3470,3470,0,3490,3490,1999,10082,10082,2957,9995,9995,0,9995,9995,0
16.625,2000,0,2000,3092,3092,2000,3088,3088,0,3178,3178,2000,5904,5904,2277,10000,10000,0,10000,10000,0
16.5,2000,0,2000,2735,2735,2000,2703,2703,0,2760,2760,2000,4210,4210,2081,10000,10000,0,10000,10000,0
